timestamp,data
1587848005957240771,"""toggle backdoor"""
1587848012997423730,"""close solenoid"""
1587848021311668440,"""open solenoid"""
1587848024112713857,"""close ignition valve"""
1587848029118808566,"""set readiness 10"""
1587848033403750733,"""print whitelist"""
1587848179462629208,"""print whitelist"""
1587848339257549686,"""close vent valve"""
1587848344970804187,"""extend linear actuator"""
1587848345970876812,"""retract linear actuator"""
1587848347327360312,"""close ignition valve"""
1587848348267369187,"""all stop"""
1587848358920768605,"""all stop"""
