timestamp,data
1587853274827221899,"""close solenoid"""
1587853275308345108,"""open solenoid"""
1587853275862571983,"""close ignition valve"""
1587853276761408733,"""open ignition valve"""
1587853277701267900,"""retract linear actuator"""
1587853278676772483,"""extend linear actuator"""
1587853279870012691,"""close vent valve"""
1587853280937162317,"""open vent valve"""
1587853281748286108,"""crack vent valve"""
1587853282661994525,"""fire ematch"""
1587853571770755935,"""close solenoid"""
1587853574164234060,"""close solenoid"""
1587853576329046727,"""close solenoid"""
1587853595277855187,"""close solenoid"""
1587853600803405230,"""close solenoid"""
