timestamp,data
1613697758234152812,"""hey wade"""
1613697769583589438,"""we in boi"""
1613697772880274813,"""toggle backdoor"""
1613697777344300731,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698007919998175,"""back"""
1613698039170292345,"""yay"""
1613698042371727596,"""ima head over"""
1613698053989603764,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698061794380098,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698066536338557,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698075171651183,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698098890226144,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698107351134937,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698112150889021,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698130836196273,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_ACTIVE"""
1613698175562251820,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698191737177363,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698196578880656,"""oh boi"""
1613698203286872365,"""all stop"""
1613698218040506366,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698288612800000,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_CLOSE"""
1613698313973646920,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698319061712545,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698403526788764,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698406872165431,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698414254008682,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698452684143519,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698454087817895,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698454986544978,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698455776446145,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698484992570898,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698513280591693,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698625700313415,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698626677298749,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698627553190207,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698628390941582,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698660202860878,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698667850074545,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698673540343921,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698676585267004,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_PULSE_OPEN pulse=2"""
1613698686068135547,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698692012317340,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698695562505298,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698700358986007,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698701883935132,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698714858221801,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698719373885926,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698859362419735,"""hey what's the status? ETA on test?"""
1613698915267850116,"""everything went alright plugged in, moving on to cold flow prep"""
1613698927643906909,"""connecting solenoid now"""
1613698932658150368,"""bondi: \""I thought this was cold flow prep\"""""
1613698944126570078,"""lmao"""
1613699055498574383,"""system fortune | cowsay"""
1613699192758879399,"""listen to /sensors/ox_tank_transducer"""
1613699235055211113,"""stop listening all"""
1613699236599541905,"""stop listening all"""
1613699240890212572,"""hello"""
1613699315540225456,"""elevate readiness"""
1613699331113430749,"""stop listening all"""
1613699331871892833,"""stop listening all"""
1613699332057213416,"""stop listening all"""
1613699332985406333,"""stop listening all"""
1613699333787624583,"""stop listening all"""
1613699333982683958,"""stop listening all"""
1613699334542556250,"""stop listening all"""
1613699334760557833,"""stop listening all"""
1613699339249871708,"""stop listening all"""
1613699361749032711,"""reduce readiness"""
1613699366874457212,"""toggle backdoor"""
1613699368434723879,"""toggle backdoor"""
1613699440126899845,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_ACTIVE"""
1613699531846203481,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_PULSE_OPEN pulse=2"""
1613699947886528114,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613699952138275990,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613699995119415328,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_CLOSE"""
1613700012796114455,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613700055999163752,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613700083374560505,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613700142034577429,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613700146332993513,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613700150154543680,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
