timestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1613697659135304967,,1,,1613697658,298913258,'',2,"""/logging/rosbag_record""","""Subscribing to /rosout""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1613697659149393717,,2,,1613697658,662308883,'',2,"""/logging/rosbag_record""","""Subscribing to /rosout_agg""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1613697703781448805,,1,,1613697703,686578035,'',1,"""/top/exec""","""init_node, name[/top/exec], pid[4167]""","""client.py""","""init_node""",340,[/rosout]
1613697703898470430,,2,,1613697703,877912044,'',1,"""/top/exec""","""... service URL is rosrpc://192.168.1.101:38267""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697704071740222,,3,,1613697704,37966012,'',1,"""/top/exec""","""[/top/exec/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697704078202639,,3,,1613697703,894076108,'',1,"""/top/tcp_server""","""... service URL is rosrpc://192.168.1.101:46035""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697704154527014,,4,,1613697704,104187011,'',1,"""/top/tcp_server""","""[/top/tcp_server/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697704499195430,,1,,1613697704,125874042,'',1,"""/top/readiness_admin""","""[/top/readiness_admin/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697705494808639,,4,,1613697705,427442073,'',1,"""/top/exec""","""... service URL is rosrpc://192.168.1.101:38267""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697705738978805,,5,,1613697705,612363100,'',1,"""/top/exec""","""[/top/exec/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697706188982764,,5,,1613697706,177795886,'',1,"""/top/tcp_server""","""... service URL is rosrpc://192.168.1.101:46035""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697706324788514,,6,,1613697706,270003080,'',1,"""/top/tcp_server""","""[/top/tcp_server/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697706436611764,,3,,1613697706,419318914,'',1,"""/top/readiness_admin""","""... service URL is rosrpc://192.168.1.101:37299""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697706578060139,,4,,1613697706,546991109,'',1,"""/top/readiness_admin""","""[/top/readiness_admin/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697707110638139,,3,,1613697706,900053024,'',1,"""/top/watchdog""","""... service URL is rosrpc://192.168.1.101:38941""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697707150869431,,4,,1613697707,109258890,'',1,"""/top/watchdog""","""[/top/watchdog/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697707826371056,,1,,1613697707,789680004,'',1,"""/hardware/injection_valve""","""[/hardware/injection_valve/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697708095985639,,7,,1613697708,56339025,'',2,"""/top/tcp_server""","""Attempting to start server at 192.168.1.101:8001""","""tcp_server.py""","""<module>""",216,[/rosout]
1613697708188760264,,8,,1613697708,151704072,'',2,"""/top/tcp_server""","""Started server at 192.168.1.101:8001""","""tcp_server.py""","""<module>""",230,[/rosout]
1613697709318409972,,5,,1613697709,290040016,'',1,"""/top/watchdog""","""... service URL is rosrpc://192.168.1.101:38941""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697709394803764,,6,,1613697709,358649015,'',1,"""/top/watchdog""","""[/top/watchdog/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697709949738848,,3,,1613697709,932821989,'',1,"""/hardware/injection_valve""","""... service URL is rosrpc://192.168.1.101:37719""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697710081796806,,4,,1613697710,42253017,'',1,"""/hardware/injection_valve""","""[/hardware/injection_valve/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697710398642556,,1,,1613697710,354434967,'',1,"""/hardware/abort_valve""","""init_node, name[/hardware/abort_valve], pid[4218]""","""client.py""","""init_node""",340,[/rosout]
1613697710518429973,,2,,1613697710,482038021,'',1,"""/hardware/abort_valve""","""... service URL is rosrpc://192.168.1.101:34277""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697710600944223,,3,,1613697710,574604988,'',1,"""/hardware/abort_valve""","""[/hardware/abort_valve/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697710893886806,,6,,1613697710,842166900,'',1,"""/top/exec""","""node[/top/exec, http://192.168.1.101:40567/] entering spin(), pid[4167]""","""client.py""","""spin""",126,"[/commands, /rosout]"
1613697711186699014,,1,,1613697711,151984930,'',1,"""/hardware/linear_actuator""","""init_node, name[/hardware/linear_actuator], pid[4225]""","""client.py""","""init_node""",340,[/rosout]
1613697711307284556,,2,,1613697711,257741928,'',1,"""/hardware/linear_actuator""","""... service URL is rosrpc://192.168.1.101:39589""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697711377805139,,3,,1613697711,354192972,'',1,"""/hardware/linear_actuator""","""[/hardware/linear_actuator/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697711738235223,,1,,1613697711,729288101,'',1,"""/hardware/solenoid""","""init_node, name[/hardware/solenoid], pid[4231]""","""client.py""","""init_node""",340,[/rosout]
1613697711809681556,,2,,1613697711,798749923,'',1,"""/hardware/solenoid""","""... service URL is rosrpc://192.168.1.101:37345""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697711888026389,,3,,1613697711,862159013,'',1,"""/hardware/solenoid""","""[/hardware/solenoid/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697712860733140,,1,,1613697712,831958055,'',1,"""/hardware/ematch""","""init_node, name[/hardware/ematch], pid[4237]""","""client.py""","""init_node""",340,[/rosout]
1613697712953024015,,2,,1613697712,922960996,'',1,"""/hardware/ematch""","""... service URL is rosrpc://192.168.1.101:34995""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697712984016640,,4,,1613697712,963464021,'',1,"""/hardware/abort_valve""","""... service URL is rosrpc://192.168.1.101:34277""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697713038756265,,3,,1613697713,16644954,'',1,"""/hardware/ematch""","""[/hardware/ematch/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697713073149223,,5,,1613697713,41316032,'',1,"""/hardware/abort_valve""","""[/hardware/abort_valve/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697713770175348,,4,,1613697713,727113962,'',1,"""/hardware/linear_actuator""","""... service URL is rosrpc://192.168.1.101:39589""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697713834518306,,5,,1613697713,808208942,'',1,"""/hardware/linear_actuator""","""[/hardware/linear_actuator/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697714137226723,,4,,1613697714,125871896,'',1,"""/hardware/solenoid""","""... service URL is rosrpc://192.168.1.101:37345""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697714184252223,,5,,1613697714,173665046,'',1,"""/hardware/solenoid""","""[/hardware/solenoid/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697714243261556,,3,,1613697714,230696723,'',2,"""/logging/rosbag_record""","""Subscribing to /uptime""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1613697714620715181,,1,,1613697714,594141960,'',1,"""/sensors/combustion_thermocouple_2""","""init_node, name[/sensors/combustion_thermocouple_2], pid[4248]""","""client.py""","""init_node""",340,[/rosout]
1613697714625487598,,1,,1613697714,595959901,'',1,"""/sensors/combustion_thermocouple_1""","""init_node, name[/sensors/combustion_thermocouple_1], pid[4243]""","""client.py""","""init_node""",340,[/rosout]
1613697714683109348,,2,,1613697714,667069911,'',1,"""/sensors/combustion_thermocouple_1""","""... service URL is rosrpc://192.168.1.101:38883""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697714692355473,,2,,1613697714,668147087,'',1,"""/sensors/combustion_thermocouple_2""","""... service URL is rosrpc://192.168.1.101:34805""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697714730033681,,3,,1613697714,713711977,'',1,"""/sensors/combustion_thermocouple_1""","""[/sensors/combustion_thermocouple_1/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697714734440890,,3,,1613697714,720243930,'',1,"""/sensors/combustion_thermocouple_2""","""[/sensors/combustion_thermocouple_2/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697714916326265,,4,,1613697714,901165962,'',1,"""/hardware/ematch""","""... service URL is rosrpc://192.168.1.101:34995""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697714918721931,,9,,1613697714,845917940,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 38267""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697714941153056,,10,,1613697714,927200078,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 37299""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697714959605431,,5,,1613697714,947891950,'',1,"""/hardware/ematch""","""[/hardware/ematch/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697715038093723,,11,,1613697714,950285911,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 38941""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715050358432,,12,,1613697714,971828937,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 37719""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715065684848,,13,,1613697714,982197046,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 46035""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715088003390,,14,,1613697714,987046003,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 39589""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715172354973,,15,,1613697714,991198062,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 34995""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715272070015,,16,,1613697715,2852916,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 36351""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715311919890,,17,,1613697715,10919094,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 37345""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715423292223,,18,,1613697715,21214008,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 34277""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715502915890,,19,,1613697715,68162918,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 48573""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1613697715563263015,,6,,1613697715,550875902,'',2,"""/hardware/injection_valve""","""Starting DC motor driver on pins P9_18, P9_17""","""motor_driver.py""","""<module>""",89,[/rosout]
1613697716013654348,,7,,1613697715,995230913,'',4,"""/hardware/injection_valve""","""0: Failed to configure. Waiting for 7 seconds before reattempt.""","""motor_driver.py""","""<module>""",102,[/rosout]
1613697716258945015,,21,,1613697716,249948978,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 34805""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697716399396057,,5,,1613697716,382697105,'',1,"""/sensors/combustion_thermocouple_2""","""... service URL is rosrpc://192.168.1.101:34805""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697716447773848,,6,,1613697716,421401023,'',1,"""/sensors/combustion_thermocouple_2""","""[/sensors/combustion_thermocouple_2/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697716484365140,,4,,1613697716,458058118,'',1,"""/sensors/combustion_thermocouple_1""","""... service URL is rosrpc://192.168.1.101:38883""","""tcpros_service.py""","""__init__""",565,[/rosout]
1613697716529172932,,5,,1613697716,513479948,'',1,"""/sensors/combustion_thermocouple_1""","""[/sensors/combustion_thermocouple_1/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697717070252640,,8,,1613697717,48578977,'',1,"""/top/watchdog""","""node[/top/watchdog, http://192.168.1.101:42149/] entering spin(), pid[4152]""","""client.py""","""spin""",126,"[/commands, /rosout, /uptime]"
1613697717781382765,,6,,1613697717,759928941,'',1,"""/top/readiness_admin""","""node[/top/readiness_admin, http://192.168.1.101:45721/] entering spin(), pid[4180]""","""client.py""","""spin""",126,"[/commands, /readiness_level, /rosout, /requested_commands]"
1613697717945308099,,7,,1613697717,901555061,'',2,"""/hardware/abort_valve""","""Starting DC motor driver on pins P9_11, P9_12""","""motor_driver.py""","""<module>""",89,[/rosout]
1613697718066172890,,22,,1613697718,19874095,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 38883""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697718222422349,,23,,1613697718,136215925,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 36553""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697718351015557,,7,,1613697718,330483913,'',2,"""/hardware/linear_actuator""","""Starting DC motor driver on pins P9_24, P9_23""","""motor_driver.py""","""<module>""",89,[/rosout]
1613697718359476640,,24,,1613697718,266319990,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 42757""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697718532084474,,25,,1613697718,430105924,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 36059""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697718594673182,,8,,1613697718,550496101,'',4,"""/hardware/abort_valve""","""0: Failed to configure. Waiting for 19 seconds before reattempt.""","""motor_driver.py""","""<module>""",102,[/rosout]
1613697718990237265,,8,,1613697718,957072973,'',4,"""/hardware/linear_actuator""","""0: Failed to configure. Waiting for 10 seconds before reattempt.""","""motor_driver.py""","""<module>""",102,[/rosout]
1613697719353828974,,26,,1613697719,283154964,'',1,"""/top/tcp_server""","""node[/top/tcp_server, http://192.168.1.101:35171/] entering spin(), pid[4159]""","""client.py""","""spin""",126,"[/los, /rosout, /requested_commands]"
1613697719483343349,,8,,1613697719,462640047,'',1,"""/top/exec""","""connecting to 192.168.1.101 37299""","""tcpros_base.py""","""connect""",554,"[/commands, /rosout]"
1613697719899019890,,7,,1613697719,885828971,'',2,"""/hardware/solenoid""","""Starting solenoid driver on pin P9_26""","""solenoid_driver.py""","""<module>""",80,[/rosout]
1613697720006667182,,8,,1613697719,983563899,'',2,"""/hardware/solenoid""","""Using 30 s, 30 s open-close cycle.""","""solenoid_driver.py""","""<module>""",82,[/rosout]
1613697720098766265,,7,,1613697720,74034929,'',2,"""/hardware/ematch""","""Starting e-match driver on pins P9_13, P9_15""","""ematch_driver.py""","""<module>""",81,[/rosout]
1613697720181677640,,8,,1613697720,164243936,'',2,"""/hardware/ematch""","""Using a delay of 0.3 seconds.""","""ematch_driver.py""","""<module>""",82,[/rosout]
1613697720383497474,,27,,1613697720,315141916,'',4,"""/top/tcp_server""","""LOS condition detected!""","""tcp_server.py""","""publish_los""",160,"[/los, /rosout, /requested_commands]"
1613697720534740515,,28,,1613697720,470084905,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 40115""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697720601439682,,9,,1613697720,585118055,'',4,"""/hardware/solenoid""","""0: Failed to configure. Waiting for 12 seconds before reattempt.""","""solenoid_driver.py""","""<module>""",95,[/rosout]
1613697720739926724,,9,,1613697720,714251995,'',4,"""/hardware/ematch""","""0: Failed to configure. Waiting for 11 seconds before reattempt.""","""ematch_driver.py""","""<module>""",96,[/rosout]
1613697721019518766,,9,,1613697720,984321117,'',1,"""/top/watchdog""","""connecting to 192.168.1.101 37299""","""tcpros_base.py""","""connect""",554,"[/commands, /rosout, /uptime]"
1613697721398849182,,29,,1613697721,310106039,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 32971""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697721578383349,,30,,1613697721,545824050,'',1,"""/top/tcp_server""","""connecting to 192.168.1.101 46035""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1613697721582538849,,7,,1613697716,947427034,'',1,"""/sensors/combustion_transducer""","""[/sensors/combustion_transducer/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697721621408849,,7,,1613697721,613678932,'',1,"""/top/readiness_admin""","""connecting to 192.168.1.101 46035""","""tcpros_base.py""","""connect""",554,"[/commands, /readiness_level, /rosout, /requested_commands]"
1613697721801783016,,4,,1613697721,796201182,'',2,"""/logging/rosbag_record""","""Subscribing to /requested_commands""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1613697721869526474,,7,,1613697721,852240085,'',2,"""/sensors/combustion_thermocouple_1""","""Starting thermocouple driver on ADC AIN1 and polling period 1 seconds.""","""thermocouple_driver.py""","""<module>""",78,"[/sensors/combustion_thermocouple_1, /rosout]"
1613697721911739932,,7,,1613697717,354175090,'',1,"""/sensors/ox_tank_thermocouple""","""[/sensors/ox_tank_thermocouple/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1613697721930953599,,8,,1613697721,917516946,'',1,"""/sensors/combustion_thermocouple_1""","""node[/sensors/combustion_thermocouple_1, http://192.168.1.101:46639/] entering spin(),\","""client.py""","""spin""",126,"[/sensors/combustion_thermocouple_1, /rosout]"
1613697721973777932,,7,,1613697721,958400011,'',2,"""/sensors/combustion_thermocouple_2""","""Starting thermocouple driver on ADC AIN2 and polling period 1 seconds.""","""thermocouple_driver.py""","""<module>""",78,"[/sensors/combustion_thermocouple_2, /rosout]"
1613697722020395349,,8,,1613697722,6093978,'',1,"""/sensors/combustion_thermocouple_2""","""node[/sensors/combustion_thermocouple_2, http://192.168.1.101:35411/] entering spin(),\","""client.py""","""spin""",126,"[/sensors/combustion_thermocouple_2, /rosout]"
1613697722300558974,,8,,1613697722,281780958,'',2,"""/sensors/combustion_transducer""","""Starting pressure transducer driver on ADC AIN3 and polling period 0.25 seconds.""","""pressure_transducer_driver.py""","""<module>""",75,"[/sensors/combustion_transducer, /rosout]"
1613697722350009432,,9,,1613697722,326108932,'',1,"""/sensors/combustion_transducer""","""node[/sensors/combustion_transducer, http://192.168.1.101:44019/] entering spin(),\","""client.py""","""spin""",126,"[/sensors/combustion_transducer, /rosout]"
1613697722443593307,,8,,1613697722,416318893,'',2,"""/sensors/ox_tank_thermocouple""","""Starting thermocouple driver on ADC AIN4 and polling period 1 seconds.""","""thermocouple_driver.py""","""<module>""",78,"[/rosout, /sensors/ox_tank_thermocouple]"
1613697722490486557,,9,,1613697722,466483116,'',1,"""/sensors/ox_tank_thermocouple""","""node[/sensors/ox_tank_thermocouple, http://192.168.1.101:37631/] entering spin(),\","""client.py""","""spin""",126,"[/rosout, /sensors/ox_tank_thermocouple]"
1613697722851075682,,5,,1613697722,837291932,'',2,"""/logging/rosbag_record""","""Subscribing to /commands""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1613697722909169641,,31,,1613697722,820151090,'',2,"""/top/tcp_server""","""New connection: (0, ('192.168.1.111', 36784))""","""tcp_server.py""","""handle_connections""",112,"[/los, /rosout, /requested_commands]"
1613697722958552932,,32,,1613697722,933746099,'',2,"""/top/tcp_server""","""1 active connection(s)""","""tcp_server.py""","""handle_connections""",113,"[/los, /rosout, /requested_commands]"
1613697723132637599,,6,,1613697723,124715474,'',2,"""/logging/rosbag_record""","""Subscribing to /los""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1613697723218506057,,9,,1613697722,615029096,'',1,"""/sensors/ox_tank_transducer""","""node[/sensors/ox_tank_transducer, http://192.168.1.101:35367/] entering spin(), pid[4269]""","""client.py""","""spin""",126,"[/sensors/ox_tank_transducer, /rosout]"
1613697723229421016,,33,,1613697723,183988094,'',2,"""/top/tcp_server""","""Connection with atleast one client restored.""","""tcp_server.py""","""publish_los""",157,"[/los, /rosout, /requested_commands]"
1613697723489332308,,7,,1613697723,483020308,'',2,"""/logging/rosbag_record""","""Subscribing to /readiness_level""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1613697723813329058,,8,,1613697723,731312036,'',2,"""/hardware/injection_valve""","""Success.""","""motor_driver.py""","""<module>""",118,"[/hardware/injection_valve, /rosout]"
