timestamp,data
1613697792111964899,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697798260031858,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697799939426358,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697812942551277,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697818582342861,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697821815653736,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697824927372570,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697959903451919,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697964647084086,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697971057922504,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698144193303649,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698147215789025,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697777454037981,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698007988086050,"""back"""
1613698039239284887,"""yay"""
1613698042427300429,"""ima head over"""
1613698054068799930,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698061873087265,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698066623316098,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698075246497433,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698098952395436,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698107398420395,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698112238246771,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698130903486523,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_ACTIVE"""
1613698175632988070,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698191830811322,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698196638227656,"""oh boi"""
1613698203366503531,"""all stop"""
1613698218102265616,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698288643364667,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_CLOSE"""
1613698314010534461,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698319102720254,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698403557453430,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698406906794014,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698414295711432,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698452710124811,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698454127101561,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698455024094103,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698455834155436,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698485030503357,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698513342348610,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698625756768832,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698626735576999,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698627601091665,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698628444358707,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698660258784419,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698667880930462,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698673590659962,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698676629936254,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_PULSE_OPEN pulse=2"""
1613698686126339672,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698692042676881,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698695615370007,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698700422368007,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698701914288424,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698714886022467,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698719475970510,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698859387521443,"""hey what's the status? ETA on test?"""
1613698915316477366,"""everything went alright plugged in, moving on to cold flow prep"""
1613698927668452701,"""connecting solenoid now"""
1613698932683354327,"""bondi: \""I thought this was cold flow prep\"""""
1613698944162679453,"""lmao"""
1613699055578822883,"""system fortune | cowsay"""
1613699192816585524,"""listen to /sensors/ox_tank_transducer"""
1613699235078361279,"""stop listening all"""
1613699236620668780,"""stop listening all"""
1613699240954941488,"""hello"""
1613699315619506997,"""elevate readiness"""
1613699331150584291,"""stop listening all"""
1613699331915592291,"""stop listening all"""
1613699332118217583,"""stop listening all"""
1613699333002673166,"""stop listening all"""
1613699333882022291,"""stop listening all"""
1613699334022645124,"""stop listening all"""
1613699334609092666,"""stop listening all"""
1613699334789330583,"""stop listening all"""
1613699339239511958,"""stop listening all"""
1613699361791200378,"""reduce readiness"""
1613699440183006429,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_ACTIVE"""
1613699531899841523,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_PULSE_OPEN pulse=2"""
1613699947919967989,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613699952169112948,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613699995154551120,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_CLOSE"""
1613700012868406789,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613700056038933377,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613697877916054409,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697882115182493,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697887387220244,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697890330288744,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697892866173828,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698007808378300,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698015089071301,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698020317723093,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697916867392831,"""print whitelist"""
1613698110285574979,"""cowsay"""
1613698200676506323,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698211929192366,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698241396423911,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698247749090953,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698252948303621,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698289997910417,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698348547223340,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_ACTIVE"""
1613697909428750996,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613697913909341289,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613697921365569748,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613697924945751665,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_CLOSE"""
1613697965537290836,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
