timestamp,data
1613697745891250644,"""toggle backdoor"""
1613697792033657191,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697798206363191,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697799911968400,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697812923116902,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697818569130902,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697821787298736,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697824903905111,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697959889861377,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613697964610926753,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613697971028164879,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698144176267983,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698147188126941,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613697758234152812,"""hey wade"""
1613697769583589438,"""we in boi"""
1613697772880274813,"""toggle backdoor"""
1613697777344300731,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698007919998175,"""back"""
1613698039170292345,"""yay"""
1613698042371727596,"""ima head over"""
1613698053989603764,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698061794380098,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698066536338557,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698075171651183,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698098890226144,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_OPEN"""
1613698107351134937,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_CLOSE"""
1613698112150889021,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698130836196273,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_ACTIVE"""
1613698175562251820,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698191737177363,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698196578880656,"""oh boi"""
1613698203286872365,"""all stop"""
1613698218040506366,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698288612800000,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_CLOSE"""
1613698313973646920,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698319061712545,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_OPEN"""
1613698403526788764,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698406872165431,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698414254008682,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698452684143519,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698454087817895,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698454986544978,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698455776446145,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698484992570898,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698513280591693,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698625700313415,"""driver topic=/hardware/solenoid priority=5 command=SOLENOID_INACTIVE"""
1613698626677298749,"""driver topic=/hardware/injection_valve priority=5 command=MOTOR_STOP"""
1613698627553190207,"""driver topic=/hardware/linear_actuator priority=5 command=MOTOR_STOP"""
1613698628390941582,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
1613698660202860878,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_OPEN"""
1613698667850074545,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_CLOSE"""
1613698673540343921,"""driver topic=/hardware/abort_valve priority=5 command=MOTOR_STOP"""
