timestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1564026593374601300,,0,,1564026593,113377600,'',2,"""/logging/rosbag_record""","""Subscribing to /rosout_agg""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026594138771800,,1,,1564026594,138127500,'',2,"""/logging/rosbag_record""","""Subscribing to /transmission/incoming""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026594480815900,,2,,1564026594,231129800,'',2,"""/sensors/combustion_thermocouple""","""Starting thermocouple driver on pins 34, 35, at 20 hz""","""/home/rocketry/rocket-os/src/hardware/src/thermocouple_driver.cpp""","""main""",17,[/rosout]
1564026595150681000,,3,,1564026595,146166200,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/tank_thermocouple/temperature""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026595164012600,,4,,1564026595,159343900,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/combustion_thermocouple/temperature""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026595186485600,,5,,1564026594,949733900,'',2,"""/sensors/tank_thermocouple""","""Starting thermocouple driver on pins 34, 35, at 20 hz""","""/home/rocketry/rocket-os/src/hardware/src/thermocouple_driver.cpp""","""main""",17,[/rosout]
1564026595809026200,,6,,1564026595,539952500,'',2,"""/sensors/tank_transducer""","""Starting pressure transducer driver on pins 90, 91, at 20 hz""","""/home/rocketry/rocket-os/src/hardware/src/pressure_transducer_driver.cpp""","""main""",15,[/rosout]
1564026596148674000,,7,,1564026596,145495400,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/tank_transducer/pressure""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026596419447500,,8,,1564026596,159638200,'',2,"""/sensors/float_switch""","""Starting float switch driver on pins 14, 15, at 20 hz""","""/home/rocketry/rocket-os/src/hardware/src/float_switch_driver.cpp""","""main""",17,[/rosout]
1564026596821327400,,9,,1564026596,679227100,'',2,"""/sensors/imu""","""Starting imu driver on pins 88, 89, at 20 hz""","""/home/rocketry/rocket-os/src/hardware/src/imu_driver.cpp""","""main""",16,[/rosout]
1564026597138217300,,10,,1564026597,137701400,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/float_switch/state""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026597146210500,,11,,1564026597,145663400,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/imu/acceleration""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026597171415500,,12,,1564026597,170603000,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/imu/orientation""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026597532850500,,13,,1564026597,317292000,'',2,"""/hardware/valve_motor""","""Starting motor driver on pins 45, 46""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""main""",35,[/rosout]
1564026598055857700,,14,,1564026597,914621500,'',2,"""/hardware/pump_motor""","""Starting motor driver on pins 78, 79""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""main""",35,[/rosout]
1564026598784060500,,15,,1564026598,483427400,'',2,"""/hardware/solenoid""","""Starting solenoid driver on pins 31, 32""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""main""",28,[/rosout]
1564026599720323600,,16,,1564026599,708278894,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/sensors/imu/acceleration, /rosout, /transmission/incoming, /sensors/float_switch/state]"
1564026599771423600,,17,,1564026599,767858028,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/sensors/imu/acceleration, /sensors/tank_transducer/pressure, /sensors/float_switch/state,"
1564026599884320200,,18,,1564026599,881351947,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/transmission/incoming, /sensors/float_switch/state, /sensors/imu/acceleration, /sensors/tank_transducer/pressure,"
1564026599922876400,,19,,1564026599,921601057,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/sensors/imu/orientation, /transmission/incoming, /sensors/float_switch/state, /sensors/imu/acceleration,"
1564026599969571000,,20,,1564026599,967959880,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/transmission/incoming, /sensors/float_switch/state, /sensors/imu/acceleration, /sensors/tank_transducer/pressure,"
1564026600880359100,,21,,1564026600,860541105,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/transmission/incoming, /sensors/float_switch/state, /sensors/imu/acceleration, /sensors/tank_transducer/pressure,"
1564026601160488500,,22,,1564026601,159335500,'',2,"""/logging/rosbag_record""","""Subscribing to /transmission/outgoing""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026601879596300,,23,,1564026601,864161968,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/transmission/incoming, /transmission/outgoing, /sensors/float_switch/state, /sensors/imu/acceleration,"
1564026601916444500,,24,,1564026601,914452075,'',2,"""/webserver/webserver""","""Subscribing","""webserver.py""","""<module>""",110,"[/hardware/valve_motor/command, /transmission/incoming, /transmission/outgoing, /sensors/float_switch/state,"
1564026602142533000,,25,,1564026602,140434600,'',2,"""/logging/rosbag_record""","""Subscribing to /hardware/valve_motor/command""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026602178975000,,26,,1564026602,174587200,'',2,"""/logging/rosbag_record""","""Subscribing to /hardware/solenoid/command""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1564026602827000100,,27,,1564026602,825348800,'',2,"""/hardware/valve_motor""","""Turning the motor counterclockwise""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",21,[/rosout]
1564026602827191000,,28,,1564026602,826029400,'',2,"""/hardware/solenoid""","""Opening the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",16,[/rosout]
1564026603829250200,,29,,1564026603,826466800,'',2,"""/hardware/valve_motor""","""Turning the motor counterclockwise""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",21,[/rosout]
1564026603830006000,,30,,1564026603,829001100,'',2,"""/hardware/solenoid""","""Closing the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",12,[/rosout]
1564026604243269300,,31,,1564026604,222291946,'',2,"""/extra/interested""","""Got a message where id % 28 == 0","""interested.py""","""recieve_packet""",12,"[/rosout, /transmission/incoming, /transmission/outgoing]"
1564026604720502700,,32,,1564026604,718156400,'',2,"""/transmission/radio_driver""","""Sending packet...""","""/home/rocketry/rocket-os/src/transmission/src/radio_driver.cpp""","""send_packet""",12,"[/rosout, /transmission/incoming]"
1564026604830464000,,33,,1564026604,824690200,'',2,"""/hardware/valve_motor""","""Stopping the motor""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",13,[/rosout]
1564026604830515900,,34,,1564026604,826432300,'',2,"""/hardware/solenoid""","""Opening the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",16,[/rosout]
1564026605865796000,,35,,1564026605,856771900,'',2,"""/hardware/solenoid""","""Opening the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",16,[/rosout]
1564026605882616100,,36,,1564026605,849698900,'',2,"""/hardware/valve_motor""","""Turning the motor clockwise""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",17,[/rosout]
1564026606827209100,,37,,1564026606,824328800,'',2,"""/hardware/valve_motor""","""Turning the motor counterclockwise""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",21,[/rosout]
1564026606827215600,,38,,1564026606,826069000,'',2,"""/hardware/solenoid""","""Closing the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",12,[/rosout]
1564026607827317700,,39,,1564026607,824946400,'',2,"""/hardware/solenoid""","""Closing the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",12,[/rosout]
1564026607827324900,,40,,1564026607,825690800,'',2,"""/hardware/valve_motor""","""Stopping the motor""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",13,[/rosout]
1564026608223615600,,41,,1564026608,219283103,'',2,"""/extra/interested""","""Got a message where id % 28 == 0","""interested.py""","""recieve_packet""",12,"[/rosout, /transmission/incoming, /transmission/outgoing]"
1564026608719844100,,42,,1564026608,718464700,'',2,"""/transmission/radio_driver""","""Sending packet...""","""/home/rocketry/rocket-os/src/transmission/src/radio_driver.cpp""","""send_packet""",12,"[/rosout, /transmission/incoming]"
1564026608834481300,,43,,1564026608,827314300,'',2,"""/hardware/valve_motor""","""Stopping the motor""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",13,[/rosout]
1564026608834592600,,44,,1564026608,827955500,'',2,"""/hardware/solenoid""","""Opening the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",16,[/rosout]
1564026609843676500,,45,,1564026609,826902000,'',2,"""/hardware/valve_motor""","""Stopping the motor""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",13,[/rosout]
1564026609843694500,,46,,1564026609,826760500,'',2,"""/hardware/solenoid""","""Opening the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",16,[/rosout]
1564026610828821100,,47,,1564026610,825901400,'',2,"""/hardware/valve_motor""","""Turning the motor clockwise""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",17,[/rosout]
1564026610831973100,,48,,1564026610,827870800,'',2,"""/hardware/solenoid""","""Opening the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",16,[/rosout]
1564026611825408100,,49,,1564026611,824226300,'',2,"""/hardware/valve_motor""","""Stopping the motor""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",13,[/rosout]
1564026611835486500,,50,,1564026611,833627600,'',2,"""/hardware/solenoid""","""Opening the solenoid!""","""/home/rocketry/rocket-os/src/hardware/src/solenoid_driver.cpp""","""recieve_solenoid_command""",16,[/rosout]
1564026612841730400,,51,,1564026612,824729700,'',2,"""/hardware/valve_motor""","""Turning the motor clockwise""","""/home/rocketry/rocket-os/src/hardware/src/motor_driver.cpp""","""recieve_motor_command""",17,[/rosout]
