timestamp,data
1584479908290082305,"""open injection valve"""
1584479920833681598,"""close injection valve"""
1584479941941430851,"""open abort valve"""
1584479954956572936,"""close abort valve"""
1584480006137595109,"""enable solenoid"""
1584480045611504655,"""disable solenoid"""
1584480063089934365,"""extend linear actuator"""
1584480069188348783,"""retract linear actuator"""
1584480122229525747,"""all stop"""
1584480145838987375,"""open injection valve"""
1584480150417671334,"""close injection valve"""
1584480154646909876,"""open injection valve"""
1584480157790140252,"""close injection valve"""
1584480163972837044,"""open injection valve"""
1584480165133046878,"""close injection valve"""
1584480166676303211,"""open injection valve"""
1584480168118810670,"""close injection valve"""
1584480169634513753,"""open injection valve"""
1584480170944789670,"""close injection valve"""
1584480172235474212,"""open injection valve"""
1584480173639309795,"""close injection valve"""
1584480175193625545,"""open injection valve"""
1584480176455298087,"""close injection valve"""
