timestamp,data
1584479899612704596,"""toggle backdoor"""
1584479907648622055,"""open injection valve"""
1584479920599609390,"""close injection valve"""
1584479941826502309,"""open abort valve"""
1584479954830127519,"""close abort valve"""
1584480006040782150,"""enable solenoid"""
1584480045480924322,"""disable solenoid"""
1584480063088118157,"""extend linear actuator"""
1584480069063914241,"""retract linear actuator"""
1584480122071299164,"""all stop"""
1584480145690875584,"""open injection valve"""
1584480150249143376,"""close injection valve"""
1584480154627101751,"""open injection valve"""
1584480157645735543,"""close injection valve"""
1584480163832448044,"""open injection valve"""
1584480165022871211,"""close injection valve"""
1584480166651030378,"""open injection valve"""
1584480168046977628,"""close injection valve"""
1584480169472522795,"""open injection valve"""
1584480170811754837,"""close injection valve"""
1584480172056967503,"""open injection valve"""
1584480173539129379,"""close injection valve"""
1584480175028583420,"""open injection valve"""
1584480176257840921,"""close injection valve"""
