timestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1564453423736090854,,1,,1564453417,740172395,'',2,"""/logging/rosbag_record""","""Subscribing to /rosout""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1564453423747939682,,2,,1564453419,786505946,'',2,"""/logging/rosbag_record""","""Subscribing to /rosout_agg""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1564453424022849121,,0,,1564453424,18118314,'',2,"""/sensors/combustion_thermocouple""","""Starting thermocouple driver on pins 31, 32, at 20 hz""","""/home/debian/rocket-os/src/hardware/src/thermocouple_driver.cpp""","""main""",17,[/rosout]
1564453425106004563,,0,,1564453425,100594457,'',2,"""/sensors/tank_thermocouple""","""Starting thermocouple driver on pins 34, 35, at 20 hz""","""/home/debian/rocket-os/src/hardware/src/thermocouple_driver.cpp""","""main""",17,[/rosout]
1564453425371933112,,3,,1564453425,370781920,'',2,"""/logging/rosbag_record""","""Subscribing to /transmission/incoming""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1564453426160383014,,0,,1564453426,156131600,'',2,"""/sensors/tank_transducer""","""Starting pressure transducer driver on pins 90, 91, at 20 hz""","""/home/debian/rocket-os/src/hardware/src/pressure_transducer_driver.cpp""","""main""",15,[/rosout]
1564453426443091479,,0,,1564453426,438727612,'',2,"""/hardware/valve_motor""","""Starting motor driver on pins 45, 46""","""/home/debian/rocket-os/src/hardware/src/motor_driver.cpp""","""main""",35,[/rosout]
1564453426648313291,,0,,1564453426,644132082,'',2,"""/sensors/float_switch""","""Starting float switch driver on pins 14, 15, at 20 hz""","""/home/debian/rocket-os/src/hardware/src/float_switch_driver.cpp""","""main""",17,[/rosout]
1564453426887589037,,0,,1564453426,883068220,'',2,"""/sensors/imu""","""Starting imu driver on pins 88, 89, at 20 hz""","""/home/debian/rocket-os/src/hardware/src/imu_driver.cpp""","""main""",16,[/rosout]
1564453427299131063,,0,,1564453427,294748114,'',2,"""/sensors/barometer""","""Starting barometer driver on pins 38, 39, at 20 hz""","""/home/debian/rocket-os/src/hardware/src/barometer_driver.cpp""","""main""",17,[/rosout]
1564453428113914152,,4,,1564453428,107965156,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/combustion_thermocouple/temperature""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1564453428255303465,,0,,1564453426,687914241,'',2,"""/hardware/pump_motor""","""Starting motor driver on pins 78, 79""","""/home/debian/rocket-os/src/hardware/src/motor_driver.cpp""","""main""",35,[/rosout]
1564453429400279322,,0,,1564453426,919130971,'',2,"""/hardware/solenoid""","""Starting solenoid driver on pins 31, 32""","""/home/debian/rocket-os/src/hardware/src/solenoid_driver.cpp""","""main""",28,[/rosout]
1564453429439861940,,5,,1564453429,438658124,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/float_switch/state""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1564453430142792910,,6,,1564453430,140005173,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/imu/acceleration""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1564453430442237665,,7,,1564453430,439886531,'',2,"""/logging/rosbag_record""","""Subscribing to /sensors/tank_transducer/pressure""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
