timestamp,sync_bytes,time,id,checksum,format,data
1563914317674779945,43605,1563914317674,245,52116,'',"[60, 148, 216, 97, 249, 187, 153, 149, 235, 179, 239, 0, 161, 229, 11, 208, 71, 189, 35, 168, 123, 197, 115]"
1563914318174773881,43605,1563914318174,1474,31479,'',"[121, 59, 100, 17, 9, 170, 172, 27, 175, 51, 227, 72, 21, 187]"
1563914318674784278,43605,1563914318674,840,42259,'',"[155, 245, 225, 28, 35, 41, 164, 19, 202]"
1563914319174790734,43605,1563914319174,348,31054,'',"[56, 121, 61, 188, 78, 250, 108, 172, 33, 170, 85, 190, 181, 59]"
1563914319674736429,43605,1563914319674,1801,51935,'',"[148, 175, 240, 158, 50]"
1563914320174746870,43605,1563914320174,887,28887,'',"[78, 8, 212, 138, 84, 154, 188, 14, 168, 172, 243, 76, 45, 9, 229, 196, 175, 163, 127, 173, 118, 222, 28, 74, 48, 32, 133, 251]"
1563914320674768436,43605,1563914320674,581,38437,'',"[236, 185, 186, 195, 5, 236, 103, 183, 80, 227, 211, 52, 94, 242, 168, 5, 1, 180, 68, 250, 105, 35, 26, 105, 126, 126]"
1563914321174794809,43605,1563914321174,1621,18881,'',"[132, 58, 251, 153, 50, 68, 155, 233]"
1563914321674774967,43605,1563914321674,1506,13643,'',"[245, 226, 83, 170]"
1563914322174675806,43605,1563914322174,428,48903,'',"[250, 216, 232, 102, 100, 217, 135, 101, 90, 63, 128, 68, 124, 137, 87, 211, 173, 134, 128, 23, 133, 140, 102, 124, 124, 34, 228, 218, 11, 175]"
1563914322674719773,43605,1563914322674,1168,30880,'',"[105, 58, 175, 22, 172, 31, 109, 52, 141, 79, 212, 99, 193, 228, 131, 216, 150, 236, 57, 216, 10, 157, 9, 165, 193, 31, 170, 202, 73]"
1563914323174829235,43605,1563914323174,606,6606,'',"[104, 172, 166, 180, 202, 178, 55, 203, 207, 201, 128, 110, 40, 76, 106, 237, 211, 76, 139, 34, 154, 24]"
1563914323674753171,43605,1563914323674,478,33906,'',"[205, 163, 198, 255, 42, 21, 67]"
1563914324174734430,43605,1563914324174,231,6287,'',"[135, 124, 98, 105, 114, 205, 101, 62, 73, 113, 206, 117, 79, 234, 100, 129, 97, 254, 155, 191, 233, 126, 50, 249, 140]"
1563914324674731690,43605,1563914324674,1759,49495,'',"[60, 244, 237, 22, 243, 77, 0, 139]"
1563914325174677079,43605,1563914325174,346,27278,'',"[91, 159, 212, 10, 3, 188, 13, 155, 171, 213, 1, 229, 214, 125, 197, 142, 46, 175, 198, 99, 138, 112, 222, 86]"
1563914325674691838,43605,1563914325674,851,27889,'',"[27, 7, 216, 139, 194, 164, 207, 146, 152, 53, 213, 209]"
1563914326174704885,43605,1563914326174,954,13665,'',"[188, 237, 19, 229, 199, 171, 164, 129, 28, 26, 235, 36, 59, 30, 172, 106, 243, 70, 71, 38, 13, 235, 31, 58, 192]"
1563914326674760351,43605,1563914326674,224,3882,'',"[78, 246, 22, 115, 8, 4, 34, 167, 49, 91, 160, 34, 71, 205, 135, 86, 112, 156, 234, 152, 235, 83, 167, 90]"
1563914327174751278,43605,1563914327174,1720,29364,'',"[80, 253, 9, 42, 226, 251, 19, 84, 49, 50, 78, 118, 117, 182, 33]"
1563914327674746610,43605,1563914327674,1643,56364,'',"[37, 55, 249, 98, 215, 176, 109, 79, 124, 31, 233, 192, 49, 123, 54, 202, 188, 219, 222, 82, 87, 212, 76, 149, 151, 18, 48]"
1563914328174763882,43605,1563914328174,393,920,'',"[86, 22, 200, 255, 77, 168, 7, 225, 51, 85, 59, 238, 47, 32]"
1563914328674763123,43605,1563914328674,325,30980,'',"[160, 248, 71, 227, 182, 185, 159, 34, 75, 253, 4, 144, 73, 21, 72, 45]"
1563914329174756065,43605,1563914329174,465,60748,'',"[92, 174, 69, 39, 229, 169, 138, 138, 117, 188, 238, 127, 2, 103, 43, 182, 27, 245, 171, 231, 91, 30, 2, 17, 77, 225, 135, 116, 118, 116, 104, 40, 143, 228, 57, 202, 92, 121]"
1563914329674762757,43605,1563914329674,1559,63436,'',"[222, 183, 223, 141, 142, 221, 209, 87, 151, 57, 174, 155, 97, 188, 21, 150, 158, 12, 101, 230, 2, 34, 204, 40, 239, 52, 102, 224, 83, 135, 228, 91, 107, 0, 1, 196, 170, 215, 96, 217, 96, 237, 221, 141, 106, 153, 50, 209, 92, 110]"
