timestamp,data
1582234077790611334,"""rosnode list"""
1582234116526017856,"""system figlet RVT"""
1582234208913116364,"""rosnode list"""
1582234211241327576,"""rostopic list"""
1582234213810449058,"""system fortune | cowsay"""
1582234215948791136,"""close solenoid"""
1582234217740447657,"""open solenoid"""
1582234218876885160,"""close solenoid"""
1582234220890072793,"""open ignition valve"""
1582234225977869464,"""close ignition valve"""
1582234229180771908,"""close vent valve"""
1582234230573318708,"""retract linear actuator"""
1582234232535890663,"""fire ematch"""
1582234239401129425,"""rosnode list"""
1582234321114946892,"""rosnode list"""
1582234326931807423,"""system mpstat -P ALL 1 1"""
1582234331561943349,"""rosnode list"""
1582234334227691737,"""system ls -lh ~/rocket-os/src/launch/logs"""
1582234367521516577,"""print whitelist"""
1582234379574359478,"""crack vent valve"""
1582234386844361180,"""fire ematch"""
1582234389735850821,"""open ignition valve"""
1582234391469251617,"""close ignition valve"""
1582234395118492746,"""launch"""
1582234396486400094,"""abort"""
1582234398478654259,"""system figlet \""I'm sorry, Dave. I'm afraid I can't do that.\"""""
1582234408241210905,"""system figlet RVT"""
1582234445923822584,"""system df -h"""
1582234449115573883,"""system df -h"""
1582234466848659775,"""system tree ~/rocket-os/src/launch/logs"""
1582234496401163095,"""system ls ~/rocket-os/src/launch/logs/*.active"""
1582234503902880959,"""system ls -lh ~/rocket-os/src/launch/logs/*.active"""
1582234543421935244,"""system ls -lh /home/debian/rocket-os/src/launch/logs/LOG_2020-02-20-16-25-46_5*.bag*"""
