timestamp,data
1582234077724597516,"""rosnode list"""
1582234116441882100,"""system figlet RVT"""
1582234208854215848,"""rosnode list"""
1582234211171772702,"""rostopic list"""
1582234213720989929,"""system fortune | cowsay"""
1582234215877771927,"""close solenoid"""
1582234217653487054,"""open solenoid"""
1582234218790433820,"""close solenoid"""
1582234220838024848,"""open ignition valve"""
1582234225906058675,"""close ignition valve"""
1582234229138507330,"""close vent valve"""
1582234230514897622,"""retract linear actuator"""
1582234232452259955,"""fire ematch"""
1582234239334416806,"""rosnode list"""
1582234321064712176,"""rosnode list"""
1582234326854453858,"""system mpstat -P ALL 1 1"""
1582234331476317374,"""rosnode list"""
1582234334148245206,"""system ls -lh ~/rocket-os/src/launch/logs"""
1582234367453567732,"""print whitelist"""
1582234379525192409,"""crack vent valve"""
1582234386763363776,"""fire ematch"""
1582234389687795648,"""open ignition valve"""
1582234391423730593,"""close ignition valve"""
1582234395076940166,"""launch"""
1582234396417094407,"""abort"""
1582234398390510922,"""system figlet \""I'm sorry, Dave. I'm afraid I can't do that.\"""""
1582234408159666114,"""system figlet RVT"""
1582234445860184286,"""system df -h"""
1582234449057608140,"""system df -h"""
1582234466746201532,"""system tree ~/rocket-os/src/launch/logs"""
1582234496317364511,"""system ls ~/rocket-os/src/launch/logs/*.active"""
1582234503815032185,"""system ls -lh ~/rocket-os/src/launch/logs/*.active"""
1582234543351548572,"""system ls -lh /home/debian/rocket-os/src/launch/logs/LOG_2020-02-20-16-25-46_5*.bag*"""
