timestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1582233946502801247,,1121,,1582233946,497125276,'',2,"""/logging/rosbag_record""","""Closing /home/debian/rocket-os/src/launch/logs/LOG_2020-02-20-16-15-46_548.bag.""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""Recorder::stopWriting""",400,[/rosout]
1582233946929448792,,1122,,1582233946,878160400,'',2,"""/logging/rosbag_record""","""Recording to /home/debian/rocket-os/src/launch/logs/LOG_2020-02-20-16-25-46_549.bag.""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""Recorder::startWriting""",396,[/rosout]
1582233949398533948,,352,,1582233949,369052886,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1462.15380859, 1500.37873193 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233952725270002,,9752,,1582233952,708231925,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582233954391767793,,353,,1582233954,368407964,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1527.42858887, 1500.07728125 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233956718604427,,9753,,1582233956,705491065,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582233960377710261,,354,,1582233960,354306936,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1472.04394531, 1499.15552368 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233962720852695,,9754,,1582233962,706346988,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582233966398084527,,355,,1582233966,365859985,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1485.89013672, 1498.94347974 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233968755017364,,9755,,1582233968,725759029,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582233968854630526,,9756,,1582233968,818176031,'',2,"""/tcp_server""","""Client #109 has disconnected""","""tcp_server.py""","""remove""",93,"[/los, /rosout, /requested_commands]"
1582233968880421194,,9757,,1582233968,865832090,'',4,"""/tcp_server""","""LOS condition detected!""","""tcp_server.py""","""publish_los""",159,"[/los, /rosout, /requested_commands]"
1582233968963695737,,9758,,1582233968,951225996,'',2,"""/tcp_server""","""0 client(s) remaining""","""tcp_server.py""","""remove""",94,"[/los, /rosout, /requested_commands]"
1582233972372212737,,356,,1582233972,352982044,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1429.71435547, 1497.88246948 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233972716082554,,9759,,1582233972,699351072,'',2,"""/tcp_server""","""New connection: (110, ('71.62.154.101', 65221))""","""tcp_server.py""","""handle_connections""",117,"[/los, /rosout, /requested_commands]"
1582233972772856887,,9760,,1582233972,745208024,'',2,"""/tcp_server""","""1 active connection(s)""","""tcp_server.py""","""handle_connections""",118,"[/los, /rosout, /requested_commands]"
1582233972842764728,,9761,,1582233972,827878952,'',2,"""/tcp_server""","""Connection with atleast one client restored.""","""tcp_server.py""","""publish_los""",156,"[/los, /rosout, /requested_commands]"
1582233976745575060,,9762,,1582233976,718364000,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582233976835792920,,9763,,1582233976,790858030,'',2,"""/tcp_server""","""Client #110 has disconnected""","""tcp_server.py""","""remove""",93,"[/los, /rosout, /requested_commands]"
1582233976870671908,,9764,,1582233976,844377040,'',4,"""/tcp_server""","""LOS condition detected!""","""tcp_server.py""","""publish_los""",159,"[/los, /rosout, /requested_commands]"
1582233976933797966,,9765,,1582233976,912873983,'',2,"""/tcp_server""","""0 client(s) remaining""","""tcp_server.py""","""remove""",94,"[/los, /rosout, /requested_commands]"
1582233977379208797,,357,,1582233977,361288070,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1425.75830078, 1497.22893091 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233982375192422,,358,,1582233982,354461908,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1437.23083496, 1496.51763428 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233988367328668,,359,,1582233988,350528001,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1434.85717773, 1495.45741455 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233993389366041,,360,,1582233993,365405082,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1492.61535645, 1494.61082129 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582233999370166867,,361,,1582233999,354123115,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1481.14282227, 1493.66532666 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234001226356481,,9766,,1582234001,203563928,'',2,"""/tcp_server""","""New connection: (111, ('71.62.154.101', 65222))""","""tcp_server.py""","""handle_connections""",117,"[/los, /rosout, /requested_commands]"
1582234001266895733,,9767,,1582234001,255234003,'',2,"""/tcp_server""","""1 active connection(s)""","""tcp_server.py""","""handle_connections""",118,"[/los, /rosout, /requested_commands]"
1582234001834264311,,9768,,1582234001,822037935,'',2,"""/tcp_server""","""Connection with atleast one client restored.""","""tcp_server.py""","""publish_los""",156,"[/los, /rosout, /requested_commands]"
1582234002474979164,,5555,,1582234002,466193577,'',2,"""/watchdog""","""Runtime has reached 5490 minutes.""","""/home/debian/rocket-os/src/launch/src/watchdog.cpp""","""TimerEvent&)""",18,"[/rosout, /uptime]"
1582234004386023769,,362,,1582234004,361579895,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1494.19775391, 1493.04581006 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234006062178726,,363,,1582234006,38732051,'',4,"""/sensors/sensor_monitor""","""Warnings are being suppressed.""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234008720777618,,9769,,1582234008,712866067,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582234009377200046,,364,,1582234009,357382059,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1558.2857666, 1492.89231567 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234012720124509,,9770,,1582234012,705043077,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582234015389715422,,365,,1582234015,362152099,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1540.48352051, 1492.93741479 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234018801953657,,9771,,1582234018,749372959,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
1582234018966888760,,9772,,1582234018,933059930,'',4,"""/tcp_server""","""LOS condition detected!""","""tcp_server.py""","""publish_los""",159,"[/los, /rosout, /requested_commands]"
1582234019023511396,,9773,,1582234018,983670949,'',2,"""/tcp_server""","""Client #111 has disconnected""","""tcp_server.py""","""remove""",93,"[/los, /rosout, /requested_commands]"
1582234019113866336,,9774,,1582234019,90377092,'',2,"""/tcp_server""","""0 client(s) remaining""","""tcp_server.py""","""remove""",94,"[/los, /rosout, /requested_commands]"
1582234021370339716,,366,,1582234021,346827983,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1544.4395752, 1493.24677734 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234026379074456,,367,,1582234026,353003978,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1531.78027344, 1493.30295312 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234032381905681,,368,,1582234032,353663921,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1464.13183594, 1493.17952417 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234038370261547,,369,,1582234038,354886054,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1508.4395752, 1493.48730444 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234043378301612,,370,,1582234043,361294031,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1458.19775391, 1493.65266675 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234049379565142,,371,,1582234049,351639032,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1425.3626709, 1493.42005151 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234054379150315,,372,,1582234054,363773107,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1482.7253418, 1493.61389795 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234059382794698,,373,,1582234059,354633092,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1483.12084961, 1493.79191992 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234063507560318,,5556,,1582234063,484968385,'',2,"""/watchdog""","""Runtime has reached 5491 minutes.""","""/home/debian/rocket-os/src/launch/src/watchdog.cpp""","""TimerEvent&)""",18,"[/rosout, /uptime]"
1582234064380617305,,374,,1582234064,365139007,'',16,"""/sensors/sensor_monitor""","""Nitrous tank overpressure (1538.90112305, 1494.48660132 >1200 psig) detected!""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234066238300652,,375,,1582234066,217570066,'',4,"""/sensors/sensor_monitor""","""Warnings are being suppressed.""","""core.py""","""__call__""",177,"[/commands, /sensors/ox_tank_thermocouple/temperature, /sensors/combustion_thermocouple_1/temperature,"
1582234068720789040,,9775,,1582234068,698827028,'',2,"""/tcp_server""","""New connection: (112, ('71.62.154.101', 65244))""","""tcp_server.py""","""handle_connections""",117,"[/los, /rosout, /requested_commands]"
1582234068752425005,,9776,,1582234068,736017942,'',1,"""/tcp_server""","""Sending keep-alive message.""","""tcp_server.py""","""ping""",76,"[/los, /rosout, /requested_commands]"
