timestamp,sync_bytes,time,id,checksum,format,data
1564453452595185510,43605,1564453452559,448,24957,'',"[245, 255, 8, 201, 118, 219, 84, 58, 176, 0, 110, 165, 2, 124, 29, 241]"
1564453458079493402,43605,1564453458058,1904,7874,'',"[76, 227, 220, 83, 251, 186, 206, 101, 170, 144]"
1564453480610065236,43605,1564453480558,1820,38481,'',"[87, 68, 236, 175, 122, 106, 242, 201, 172, 74, 202, 86, 101, 140, 205, 240, 101, 71, 181, 164, 156, 115, 97, 57, 168]"
1564453495079326633,43605,1564453495058,448,538,'',"[81, 150, 224, 192, 197, 234, 135, 231, 70, 83, 18, 68, 127, 63, 48, 164, 74, 78]"
1564453503078712654,43605,1564453503058,1092,59897,'',"[142, 30, 113, 139, 136, 157, 194, 126, 182, 95, 172]"
1564453519090653617,43605,1564453519058,1456,39616,'',"[218, 149, 91, 37, 82, 41, 173, 79, 73, 243, 238, 92, 149, 233, 166, 91, 52, 252, 222, 99, 62, 84, 7, 52, 245, 24, 245, 21, 80, 20, 106, 120, 97, 46, 150, 112, 31]"
1564453530087259018,43605,1564453530058,1904,26556,'',"[55, 234, 188, 132, 2, 114, 234, 152, 96, 97, 186, 79, 214, 195, 33, 213]"
1564453553095504638,43605,1564453553058,1120,42180,'',"[187, 93, 62, 67, 183, 139, 196, 32, 220, 134]"
1564453568587002524,43605,1564453568558,728,41567,'',"[105, 149, 199, 102, 70, 144, 223, 197, 154, 236, 73, 8]"
1564453590579178538,43605,1564453590558,784,60814,'',"[210, 121, 137, 120, 148, 222, 70, 232, 109, 193, 74, 250, 133, 165, 205, 158, 88, 130, 177, 94, 252, 78]"
1564453592077829341,43605,1564453592058,1120,20302,'',"[166, 217, 45, 166, 171, 45, 121, 14]"
1564453597087534612,43605,1564453597058,1652,11991,'',"[98, 215, 238, 25, 138, 142]"
1564453600577371993,43605,1564453600558,1428,33030,'',"[155, 40, 35]"
1564453622578613701,43605,1564453622558,1008,34378,'',"[24, 202, 5]"
1564453641578664035,43605,1564453641558,1820,21445,'',"[241, 81, 232, 188, 97, 20, 193, 107, 157, 252, 189, 62, 133, 154, 164, 82, 177, 50, 112, 90, 116]"
1564453648089124647,43605,1564453648058,1708,1307,'',"[47, 68, 53, 189, 110, 113]"
1564453649081884431,43605,1564453649058,476,22499,'',"[46, 216, 138, 135, 142]"
1564453657578311146,43605,1564453657558,1764,1237,'',"[159, 56, 36, 158, 236, 51, 216, 100, 245, 142, 79, 192, 255, 124, 28, 59, 94, 86, 145, 115, 229, 58, 67, 46, 192, 96, 100]"
1564453679578395000,43605,1564453679558,28,48684,'',"[134, 236, 177, 216, 97, 0, 226, 36, 244, 26, 255, 76, 115, 115, 204, 15, 255, 56, 75, 186, 243, 197]"
1564453685577927084,43605,1564453685558,56,8797,'',"[73, 156, 150, 95, 250, 132, 244, 11, 115, 29]"
1564453690585928589,43605,1564453690558,1092,64726,'',"[208, 72, 180, 201, 191, 203, 20, 138, 254, 74, 111, 97, 33, 51, 108, 168, 81, 216, 136, 204, 215, 172, 160, 125, 81, 1, 130, 142]"
1564453710589312979,43605,1564453710558,1428,52683,'',"[166, 10]"
1564453735579344585,43605,1564453735558,1428,22371,'',"[84, 201, 172, 153, 234, 26, 203, 173, 69, 7, 168, 170, 98, 93, 176, 83, 221, 5, 26, 166, 110, 242, 177, 152, 96, 75]"
1564453752586555050,43605,1564453752558,924,51009,'',"[121, 8, 128, 162, 137, 41, 97, 110, 186, 14, 162, 129, 222, 166, 227, 119, 85, 95, 190, 192, 146, 219]"
1564453758587869284,43605,1564453758558,868,34184,'',"[221, 92, 197, 12, 14, 6, 15, 134, 166, 172, 30, 98, 134, 70]"
1564453764093325132,43605,1564453764058,392,22175,'',"[182, 91, 254, 101, 222, 58, 121]"
1564453770590074365,43605,1564453770558,1876,2712,'',"[167, 235, 252]"
1564453795578541884,43605,1564453795558,420,50166,'',"[173, 0, 91, 201]"
1564453821090509065,43605,1564453821058,1512,39089,'',"[21, 9, 77, 53, 2, 118, 234, 137, 254, 61, 5, 62, 76]"
1564453853096502632,43605,1564453853058,924,44725,'',"[97, 43, 230, 135, 185, 73, 102, 66, 45, 224, 25, 161, 253, 185, 164, 78, 84, 215, 65, 74, 237, 153, 245, 160, 149, 133, 4, 143, 31, 70]"
1564453881579397400,43605,1564453881559,924,10647,'',"[20, 54, 53, 199, 134]"
1564453919088611135,43605,1564453919058,1624,33126,'',"[156, 22, 170, 175, 194, 166, 119, 251, 167, 178, 213, 77, 7, 231, 75, 19, 40, 208, 208, 126, 215, 36]"
1564453923114150893,43605,1564453923058,364,42615,'',"[94, 254, 50, 161, 223, 53, 216, 152, 94, 116, 29, 206, 103, 247, 232, 118, 5, 99, 6, 176, 104, 255, 27, 49, 24, 136, 147, 139, 70, 10, 109, 116, 244, 169]"
1564453927077656362,43605,1564453927058,728,44841,'',"[34, 110, 9, 187, 161, 92, 88, 97, 0, 78, 26, 111, 26, 35, 157, 183, 207, 185, 87, 83, 155, 199, 43, 122, 81, 180, 108, 154, 205, 50]"
1564453931591913795,43605,1564453931558,1568,55044,'',"[141, 155, 19, 202, 194, 45, 65, 55]"
1564453936077257337,43605,1564453936058,1344,290,'',"[245, 165, 105, 235, 103, 135, 44, 51, 10, 216, 11, 49, 200, 31, 206]"
1564453941578371704,43605,1564453941558,700,31935,'',"[155, 185, 17, 167, 194, 5, 96, 121, 248, 206, 12, 0, 56, 11, 67, 60, 140, 222, 162, 3]"
1564453957076566159,43605,1564453957058,1092,43456,'',"[38, 212, 117, 181, 234, 40, 87, 55, 185, 78, 17, 163, 135, 239, 13, 88, 100, 233, 8, 183, 66, 171, 197, 212, 192, 157, 12, 20, 234, 101]"
1564453962074930433,43605,1564453962058,224,31821,'',"[204, 180, 38, 207, 248, 235, 147, 16, 97, 131, 218]"
1564453987076425683,43605,1564453987058,784,58138,'',"[146, 211, 158, 159, 176, 40, 116, 17]"
1564453998076823482,43605,1564453998058,504,48829,'',"[214, 214, 164, 150]"
1564454008585684903,43605,1564454008558,1764,44765,'',"[215, 155, 144, 115, 101, 238, 76, 46, 254, 107, 66, 88, 121, 192, 44, 40, 34, 241, 34, 94, 58, 93, 238]"
1564454046076011960,43605,1564454046058,1876,24142,'',"[48, 146, 38, 147, 131, 67, 131, 123, 30, 154, 233, 152, 195, 145, 182, 115, 205, 158, 114, 7, 120, 153]"
1564454064079182245,43605,1564454064058,1680,63848,'',"[140, 116, 108, 97, 246, 97, 22, 109, 133, 235, 174, 228, 68, 228, 125, 240, 227, 57, 146, 99, 161, 66, 22, 172, 236, 56]"
1564454076578994788,43605,1564454076558,1120,62629,'',"[125, 94]"
1564454077089316574,43605,1564454077059,84,41249,'',"[56, 28, 4, 146, 99, 24, 105, 224, 206, 43, 194, 203, 20, 145, 11, 239]"
1564454117585341981,43605,1564454117558,1008,44749,'',"[132, 168, 253, 86, 183, 173, 118, 236, 53, 193, 77, 199, 71, 252]"
1564454120078776564,43605,1564454120058,1624,48608,'',"[208, 23, 6, 66, 212, 55, 124, 28, 42, 9, 230, 215, 145, 203, 142, 120, 231, 144, 218, 7]"
1564454123078404239,43605,1564454123058,924,54308,'',"[35, 115, 149, 0, 119, 161, 255, 60, 201, 24, 209, 197, 158, 248, 25, 14, 68]"
1564454124093234769,43605,1564454124059,1288,34433,'',"[65, 203, 192, 156, 159, 128, 139, 67, 230, 225, 211, 3, 26, 125]"
1564454139592430820,43605,1564454139558,1036,14877,'',"[69, 121, 92, 234, 16, 166, 113, 55, 243, 134, 3, 28, 132, 40, 38, 31, 237]"
1564454147589644277,43605,1564454147558,1316,36778,'',"[117, 20, 227, 242, 142, 111, 120, 41, 166, 24, 161, 175, 138, 210, 251]"
1564454151089337193,43605,1564454151058,1064,24502,'',"[56, 191, 155, 74, 37, 34, 157, 3, 27, 233, 251, 161, 198, 148, 156, 193, 62, 119, 123, 3, 24, 24, 1, 113, 94, 223, 117, 26, 38, 10]"
1564454177078968701,43605,1564454177058,56,34140,'',"[54, 180, 183, 110, 244, 111, 199, 230, 151, 214, 175]"
1564454179591502346,43605,1564454179558,336,36435,'',"[5, 168, 112, 236, 103, 140, 119, 251, 47, 53, 219, 191]"
1564454194579617429,43605,1564454194558,448,58886,'',"[205, 155, 142, 149, 94, 137, 171, 161, 223, 177, 16, 168, 239, 139, 226, 211, 96, 100, 175, 87, 6, 159, 59, 120, 168, 235]"
1564454212091894652,43605,1564454212058,56,52978,'',"[214, 53, 193, 91, 154, 176, 249, 98, 38, 14]"
1564454216078192903,43605,1564454216058,1316,2680,'',"[0, 121, 39, 174, 129, 144]"
1564454228078672248,43605,1564454228058,1792,48504,'',"[233, 33, 115, 170, 90, 254, 179, 215, 143, 247, 17]"
1564454279078293690,43605,1564454279058,1904,31584,'',"[83, 166, 179, 250, 37, 153, 138, 143, 181, 162, 84, 203, 21, 214, 157, 226, 42, 229, 199, 230, 56, 62, 22, 64]"
1564454287588483890,43605,1564454287558,336,406,'',"[219, 155, 24, 168, 24, 136, 110]"
1564454291601974202,43605,1564454291559,1204,59668,'',"[143, 250, 196, 28, 242, 88, 248, 239, 44, 67, 64, 24, 202, 107, 240, 83, 190]"
1564454299576153327,43605,1564454299558,1148,34402,'',"[77, 122, 59, 111, 49, 40, 14, 41, 104, 139, 161, 239, 187, 248, 91, 124, 121, 107, 198, 173, 54]"
1564454313076309058,43605,1564454313058,1120,26946,'',"[142, 214, 135, 92, 31, 65, 97, 12, 133, 19, 85, 182, 122, 216, 224, 140, 196, 159, 246, 200, 49, 245, 76, 117]"
1564454343076548637,43605,1564454343058,252,21218,'',"[57, 241, 168, 182, 5, 41, 88, 136, 239, 152, 181, 56, 155, 190, 254, 231, 177, 40, 99, 164, 43, 247, 212, 77, 26]"
1564454345575948369,43605,1564454345558,1484,45966,'',"[208, 201, 147, 156, 98]"
1564454363097865681,43605,1564454363058,1932,36496,'',"[186, 87, 241, 54, 15, 205, 63, 232, 42, 59, 16, 102, 204, 250, 62, 164, 120, 41, 153, 210, 168, 194, 40]"
1564454367576163892,43605,1564454367558,532,14333,'',"[139, 154, 197]"
1564454382087887081,43605,1564454382059,868,11232,'',"[15, 81, 253, 136, 77, 111, 64, 149, 248, 33]"
1564454392086150025,43605,1564454392058,980,63552,'',"[61, 237, 55, 121, 106, 129, 120, 59, 70, 169, 252, 239, 140, 229, 213, 139, 22, 30, 177, 31, 167, 4, 208, 128]"
1564454398576130791,43605,1564454398558,84,39963,'',"[87, 188, 69, 73, 69, 250, 168, 101, 238, 98, 29, 19, 96, 110, 189, 77, 180, 9, 208, 60, 172, 236, 50, 134, 197, 59, 135, 58, 119, 86, 198, 72, 174]"
1564454408082305010,43605,1564454408058,1456,31980,'',"[192, 162, 234, 45, 147, 15, 65, 132]"
1564454416587813759,43605,1564454416559,980,41563,'',"[221, 11, 29, 249, 218, 202]"
1564454418087949479,43605,1564454418058,56,55851,'',"[165, 83, 227, 214, 0, 232, 174, 131, 165, 74, 218, 123, 240, 164]"
1564454436075690658,43605,1564454436058,812,50934,'',"[211, 69, 118, 231, 249, 29, 150, 194, 175, 254, 222, 190]"
1564454442576873245,43605,1564454442558,700,44654,'',"[124, 55, 87, 212, 85, 162, 81, 65, 96, 195, 56, 156, 237, 62, 140, 60, 103, 66, 71, 75, 178, 55, 65, 162, 152, 192, 160, 53, 233, 39, 185, 126, 216, 224, 214, 188, 24, 140]"
1564454447075396607,43605,1564454447058,1680,43407,'',"[130, 41, 209, 103, 98, 28, 248, 166, 188, 34, 8, 64, 155, 16, 204, 113, 155, 74, 62]"
1564454448574563562,43605,1564454448558,1036,11770,'',"[213, 195, 175, 41, 158, 19, 154, 75, 73, 62, 83, 213, 107, 32]"
1564454449081599964,43605,1564454449059,252,56704,'',"[225, 182, 40, 248, 251, 233, 207]"
1564454451577937919,43605,1564454451558,756,42448,'',"[141, 75, 187, 126, 244, 1, 132, 27, 223, 185, 90, 48, 138, 223, 33, 138, 116, 87, 230, 148, 221, 245, 132, 47, 238, 157, 34, 240, 127, 87, 183, 79, 183, 90, 124, 121, 131, 187, 126, 108, 211, 181, 215, 161]"
1564454455575087862,43605,1564454455558,1736,42162,'',"[54, 246, 162, 200, 114, 125, 200, 245, 1, 158, 95, 169, 193, 63, 141, 84, 136, 130, 39, 242, 254]"
1564454462076808902,43605,1564454462058,420,19167,'',"[126, 193, 22, 69, 111, 206, 166, 119]"
1564454491589078233,43605,1564454491558,1792,19880,'',"[252, 18, 36, 37, 122, 252, 203, 115, 219, 139, 165]"
1564454509577821530,43605,1564454509558,1652,18946,'',"[72, 182, 33, 240, 53]"
1564454516088324586,43605,1564454516060,1120,22000,'',"[42, 196, 119, 87, 175, 173, 0, 96, 155, 142]"
1564454521577127912,43605,1564454521558,952,19933,'',"[240, 50, 36, 154, 193, 111, 181, 214, 249, 141, 188, 178, 183, 67, 105, 2, 167, 96, 220, 16, 155, 114, 86]"
1564454544078070821,43605,1564454544058,1624,746,'',"[202, 16, 246, 50, 224, 199, 163, 198, 22, 61, 31, 109, 14, 56, 125, 13, 160]"
1564454555575857498,43605,1564454555558,1764,36364,'',"[12, 22, 26, 167, 54, 213, 223, 62, 102, 182, 173, 221, 251]"
1564454618577189367,43605,1564454618558,1764,9590,'',"[133, 108, 98, 64, 220, 131, 191, 227, 148, 62, 92, 175, 120, 185, 53, 182, 98]"
1564454651577264260,43605,1564454651558,868,28100,'',"[101, 170, 100, 98, 32, 129, 13, 82, 130, 143, 12]"
1564454670076953257,43605,1564454670058,1876,39799,'',"[147, 214, 36, 10, 26, 151, 150, 111, 23, 161, 54, 91]"
1564454692076728485,43605,1564454692058,0,40307,'',"[225, 202, 219, 108, 134, 30, 172, 55, 173, 192, 85, 27, 32, 49, 166, 128, 138, 255, 118, 207, 100, 209, 59, 46, 52]"
1564454713092447491,43605,1564454713058,1568,58972,'',"[54, 124, 87, 49, 5, 67, 95, 80, 113, 170, 224, 116, 15, 43, 128, 112, 141, 21, 124, 214]"
1564454731576318957,43605,1564454731558,1260,62107,'',"[143, 198, 208, 124, 69, 62, 18]"
1564454744576827150,43605,1564454744558,1064,30741,'',"[10, 202, 72, 30, 123, 248, 30, 210, 25, 252, 255, 231]"
1564454750577615516,43605,1564454750558,1260,28241,'',"[255, 114, 113, 14, 1, 108, 223, 182, 154, 252, 224]"
1564454843076678866,43605,1564454843058,420,33436,'',"[187, 253, 21, 26, 44, 202, 13, 45, 200, 180, 4, 111, 72, 85, 160, 115, 198, 23, 21, 170, 10, 75, 45, 247, 121, 119, 146, 55, 255, 45, 231, 251, 17, 137]"
1564454853576294816,43605,1564454853558,1344,52814,'',"[97, 238, 151, 94, 174, 204, 69]"
1564454856576516471,43605,1564454856558,672,7884,'',"[74, 17, 135, 245, 201, 213, 92, 30, 165]"
1564454912076534183,43605,1564454912058,1708,6513,'',"[254, 115, 42]"
1564454935077693911,43605,1564454935058,1372,44012,'',"[44, 202, 23, 194, 230, 183, 71, 17, 171]"
1564454939575584016,43605,1564454939558,1176,15002,'',"[51, 76, 127, 246, 224, 200, 188, 64, 200, 237, 108, 88, 244, 192, 114, 163, 69, 233, 249, 187, 98, 242, 58, 44, 73, 197]"
1564454952076843330,43605,1564454952058,1680,45392,'',"[208, 119, 22, 122, 222, 112, 62, 131, 128, 107, 196, 40, 203, 85, 23, 183, 78, 59, 17, 98]"
1564454971075315714,43605,1564454971058,1708,30352,'',"[100, 75, 211, 2, 193, 3, 90, 167, 87, 78, 3, 59, 241, 89, 188, 155, 18, 22, 113]"
1564454987076190565,43605,1564454987058,168,36776,'',"[144, 27, 153, 132, 248, 232, 200, 210, 120, 58, 3, 85, 28, 55, 49, 216, 249, 20, 73, 5, 190, 163]"
1564455006578375087,43605,1564455006558,28,1780,'',"[138, 254, 14, 90, 48, 89]"
1564455008077382786,43605,1564455008058,224,45847,'',"[167, 176, 123, 64, 7, 196, 153, 251, 113, 186, 114, 101, 162, 151, 32, 122, 67, 200, 166, 129, 34, 25]"
1564455029590176988,43605,1564455029558,1344,3242,'',"[221, 55, 3, 54, 10, 125, 151, 251, 32, 52, 66, 216, 22, 14, 232, 171, 167, 66, 10, 223, 237, 16, 171, 211, 61, 240, 15]"
1564455032076705937,43605,1564455032058,756,15360,'',"[216, 252, 97, 79, 224, 242, 245, 191, 219, 224, 81]"
1564455064576147230,43605,1564455064558,1904,57373,'',"[234, 119, 148, 131, 110, 230, 208, 201, 106, 191, 54, 215, 125, 102, 164, 46, 220, 57, 101, 67, 97, 211, 226]"
1564455066076613802,43605,1564455066058,924,4591,'',"[48, 18, 173, 118, 170, 73, 169, 21, 186, 77, 37, 34, 253, 255, 151, 80, 190, 154, 99, 23, 132, 172, 141, 179, 141, 12, 41, 4, 156]"
1564455087576512492,43605,1564455087558,0,25618,'',"[75, 226, 103, 42, 28, 105, 48]"
1564455091076066735,43605,1564455091058,1232,21430,'',"[12, 114, 113, 12, 85, 122, 158, 235, 67, 199, 33, 59, 195, 186, 200, 244, 255, 217]"
1564455121591785429,43605,1564455121558,1372,35704,'',"[211, 122, 213, 64, 116, 195, 106, 24, 103, 66, 8, 119]"
1564455128577393651,43605,1564455128558,1596,32905,'',"[185, 238, 32, 52, 62, 52, 244, 55, 94, 101]"
1564455130577218301,43605,1564455130558,756,2807,'',"[222, 167, 192, 125, 60, 158, 145, 12, 35]"
1564455132575915812,43605,1564455132558,504,49861,'',"[161, 29, 129, 55, 175, 38, 234, 120, 109, 80, 163, 67, 177, 232, 186, 82, 76, 128, 196, 56, 36, 216, 50, 74, 183, 43, 132, 46, 52, 243, 62, 73, 180, 87, 128, 236, 237, 178, 20, 191, 151, 38]"
1564455135076724073,43605,1564455135058,868,56148,'',"[88, 84, 31, 55, 210, 115, 110, 24, 138]"
1564455146076732498,43605,1564455146058,1176,9554,'',"[224, 217, 188, 12, 237, 92, 194]"
1564455152076765934,43605,1564455152058,28,61239,'',"[67, 76, 213, 223, 184, 67, 186, 141, 187, 47, 224, 233, 43, 96, 11, 41, 112, 101, 55, 75, 163, 63, 25, 96, 85, 224, 200]"
1564455160575700289,43605,1564455160558,364,36647,'',"[11, 80, 1, 217, 234, 188, 34, 95, 49, 11, 161, 128, 2, 68, 42, 37, 99, 94, 13, 121, 191, 166, 102, 91, 109, 245, 56, 190, 59, 161, 39]"
1564455191576269705,43605,1564455191558,1652,60063,'',"[229, 64, 86, 134, 242, 221, 66, 146, 175, 230, 14, 146, 178, 66, 215, 180, 216, 30, 230, 241, 155, 192, 174, 232, 89, 253, 59, 151, 225, 237, 128, 117, 150, 134, 55]"
1564455202076944543,43605,1564455202058,196,7266,'',"[131, 100, 204, 120, 94, 252, 55, 42, 82, 174, 196, 55]"
1564455245576529962,43605,1564455245558,308,47266,'',"[155, 238, 84, 81, 164, 64]"
1564455247577059392,43605,1564455247558,364,29782,'',"[98, 245, 130, 155, 73, 24]"
1564455272078337500,43605,1564455272058,672,35267,'',"[234, 163, 224, 103, 57, 180]"
1564455353076845450,43605,1564455353058,1484,57180,'',"[147, 95, 50, 200, 43, 130, 212, 138, 245, 174]"
1564455421074867669,43605,1564455421058,588,8858,'',"[225, 3, 12, 109, 10, 199, 218, 184, 6, 43, 177, 141, 63, 89, 99, 155, 251, 85]"
1564455429575984104,43605,1564455429558,1120,64674,'',"[57, 3, 218, 200, 213, 61, 214, 63, 25, 65, 90, 173, 120, 52, 7]"
1564455433577185933,43605,1564455433558,616,33879,'',"[3, 152, 151, 38, 91, 237, 242, 94, 65, 174, 240, 157, 237, 58, 13, 137, 215]"
1564455452586228931,43605,1564455452558,1792,38884,'',"[220, 111, 112, 239, 236, 111, 241, 167, 222, 230]"
1564455453576445443,43605,1564455453558,1176,7186,'',"[233, 197, 230, 151, 49, 140, 48, 77, 100, 86, 253, 9]"
1564455476078821846,43605,1564455476058,1708,21225,'',"[184, 134, 91, 81, 48, 236, 216, 238, 65, 174, 215, 83, 84, 11, 165, 237, 192, 245, 14, 24, 15, 18, 163, 150]"
1564455496078330072,43605,1564455496058,1400,47560,'',"[195, 227, 65, 145, 246, 166, 182, 22, 90]"
1564455510075235302,43605,1564455510058,56,58626,'',"[158, 43, 170, 249, 122, 175, 75]"
1564455515576351417,43605,1564455515558,1372,58763,'',"[83, 63, 244, 29, 170, 70, 194, 196, 6, 187, 229, 88, 125, 226, 241, 5, 219, 98, 108, 211]"
1564455538586794275,43605,1564455538558,1932,41215,'',"[8, 249, 247, 32, 250, 194, 144, 172, 168, 208, 92, 109, 75, 63, 93, 100, 251, 40, 187, 183, 195, 38, 242, 170, 169, 83, 224, 176, 233, 183, 49, 171, 122, 32]"
1564455539083471080,43605,1564455539059,28,41210,'',"[223, 16, 68, 220, 141, 50, 55, 67, 220, 26, 100, 205, 176, 177, 190, 207, 218, 208, 195, 252, 3, 226, 33, 156, 88, 31]"
1564455547576575638,43605,1564455547558,0,29013,'',"[14, 212, 110, 100, 216, 153, 243, 50, 61, 180, 216, 54, 164, 185]"
1564455563077411567,43605,1564455563058,1904,2325,'',"[31, 121, 131, 82, 154, 91, 145, 213, 28, 140, 140, 118, 236, 188, 151, 232, 78, 51, 25, 40]"
